Type,Anomaly Count
"Breached Damage, Theft, Operator Standards",63
Boulevard Repair Report,61
Snow Removal Street Priority 2 Reg,61
Request For Monthly Permit Esc Information,60
Damage or Theft by Collection Crews,60
Aquatics-Refund Exception Request,59
Request for Surplus Waste Pick Up,59
Snow Removal Front Approach After Hours,59
Hydrant Leaking,58
Frozen Catch Basin Priority 2 Reg,58
TR Bus Operator Complaint/Commendation,57
Snow Removal High Piles Pr 2,56
Request for Large Appliance Pick Up - 10 Items,56
Christmas Tree Donation,56
Hazardous Road Conditions Priority 3 Reg,56
Catch Basin Plugged - Back Lane,55
Damage or Theft by Collection Crews - Garbage,55
Dangerous/Split Tree Hazardous,55
Snow Removal Sidewalks Priority 1 Reg,54
Boulevard Mowing Request,54
Park Maint - Park Amenities,54
Pothole Repair Request in Summer P3,54
Forestry Stump Removal,53
Debris In Street Priority 2 Reg,52
Brush Pick Up from Boulevard Pruning/Storm Damage,51
TR Work Bus Inquiry,51
Snow Removal Sidewalks Priority 3 After,51
Hydrant Hit or Damaged,51
Forestry Tree - Fallen - Hazardous,49
Snow Removal High Piles Pr 1,49
Election Misc Inquiries,49
Payment Discrepancy Explanation,49
Sewer Odour Inside Building,49
Missed Yard Waste Collection Same Day Miss,48
Carts Damaged By Collection Crews RECYCLING 240L,48
Found Unlicensed Dog,48
Housing Complaint - Long Grass/Weeds,48
Request for New Service Roll Out Carts - Recycling,47
License Update Request_vof,46
Discoloured Water Inquiry,46
Mosquito Complaint,46
Assessment Notice Request,45
Hazardous Road Conditions Priority 1 Reg,45
Recreation-Problems with Account,45
Snow Removal Sidewalks Priority 2 Reg,44
Carts Damaged By Third Party,44
Program Reg - Facility or Pool Party Rental-Under9,44
Loading Zone Request,44
Sump Pump/Down Spout Discharge - Hazardous,44
Screening Request,43
Sewer Odour Outside,43
Pothole P1 Hazardous After,43
Applying for Education & Property Tax Credit,42
Sump Pump/Backwater Valve Subsidy Program Inquiry,42
Snow Removal Sidewalks Priority 1 After,42
Sewer & DrainageTechnical Advisor,41
Tax Notice - Property,41
Gravel Lanes Maintenance Request,41
Snow Removal Sidewalks Priority 2 After,41
Pothole P1_vof,41
Roll Out Cart Delivery - Damaged Cart,41
Debris In Street Priority 2 After,41
Forestry Pruning - Obstructive Branches,41
Snow Removal High Piles Pr 3,40
Forestry Complaints/Commendations,40
"Water Meter Damaged, Broken or Not Working",40
Sanding Request Priority 2 Reg,40
Water Tank Rental or Concern,40
Parking Ticket Statement Esc Inq,39
Photo Enforcement Information,39
Debris In Street Priority 1 After,39
Aquatics-Program Information Inquiry,39
Forestry Tree - Fallen - NonHazardous,39
Landfill Concerns,38
Snow Removal Street Priority 1 Reg,38
Animal Services Incident/Decision Request,38
Sump Pump/Down Spout Discharge - Neighbours,37
Dead Animal Pickup on City Property,37
Valve Box - Damaged,36
Curb Repair Priority 2,35
Parking Infraction Public Report_vof,34
Bulky/ODS/Surplus/Large App Pick Up Charge Inq,34
Ditch Cleaning,34
Missed Recycling Collection Same Day Miss,34
Park Maint - Mowing Park,33
Zoning Query,33
New Construction Tax Estimate,33
Program Reg-Program Complaint,33
TR Public Opinion,33
Manhole Cover Missing,33
Hazardous Road Conditions Priority 2 After,33
Staff Complaint / Commendation,33
Inspections - Unsafe Bldg/Property Complaint,32
TR Peggo Refund or Cancellation Inquiry,32
Hazardous Road Conditions Priority 2 Reg,32
Sanding Request Priority 3 Reg,32
Water Meter Noisy,32
Curb Repair Priority 1,32
Other Taxes and Services Information Request,32
Sidewalk Repairs NonHazard Priority 2,32
Lot Drainage or Illegal Discharge Notice Inquiry,32
Snow Removal- Bus Stops,32
Gravel Road Maintenance Request,32
Snow Removal Street P3_vof,31
Traffic Calming Petition Responses,31
Lost Dog,31
Missed Garbage Excess Due To Previous Miss,31
Pothole Repair Request in Spring P2,31
Sanding Request Priority 1 Reg,31
Sanding Request Priority 2 After,31
Private Property Parking Infraction,30
Forestry Pruning - Traffic Control Signs,30
Sump Pump/Down Spout Discharge - Non-Hazardous,30
Boulevard Excessive Sand Complaint,30
Program Reg- Problems with Family Account,30
Breached Missed Collection Bulky Deficiency,29
"Misc Tree Concerns- Grates, Pits, Stakes",29
TR Customer Information Systems Complaint,29
Residential Toilet Replacement Program,29
Hose Lines,29
Zoning By-Law Complaint - Vehicle,29
TR Non-Operator Concern,29
Park Maint - Trails/Pathways,29
Needles on Public Right of Way,28
Request to Work at Election,28
Program Reg-Fee Waiver Status Request,28
Tree Pest Caterpillar Complaint,28
Forestry Pruning - General Non Hazardous,28
Miscellaneous Concerns - Abandoned,28
Sanding Request Priority 1 After,28
Catch Basin Cover Ajar or Off,28
Roll Out Cart Found,28
Sidewalk Repairs NonHazard Priority 1,28
Park Maint - Lighting,27
Valve Box - Cover Missing,27
Litter in Park Report,27
Pothole Repair Request in Summer P1,27
Service Box - Locate,27
Graffiti Removal Request - City Facilities,27
Walk Up Service Application Request,27
Dutch Elm Disease Tree Inspection Request,27
Zoning Permit Query,27
Railway Crossing Concern,26
Sanding Request Priority 3 After,26
Bus Stop Area/Bus Stop Maintenance Request,26
Board of Revision Services,26
Stop Sign Down Regular Hours,26
"Tree Damaged Vehicle, Snow Clearing, Vandalism",26
EPTC Self Declaration Form,26
Program Reg-Refund Exception Request,25
Spring Street Sweeping Report Priority 2,25
WINNpass Program Application,25
Req Info on Residential Driveways/Approaches,25
Missed Snow Removal Accessibility Clearing,25
Staff Complaint,25
Recreation-Refund Exception Request,24
Aquatics-Group Pool bookings - 9 or More,24
Mailing Address Change,24
Roll Out Cart Delivery - Missed,24
I Have Found My Dog Update,24
Roll Out Cart Damaged By City Equipment,24
Park Maint - Fences,23
Park Maint - Playground Equip NonHazardous,23
Recreation Services Staff Complaint,23
Lot Grading/Drainage Concern,23
Snow Removal Fire Hydrants Pr 3,23
Schedules & Routes Concern,23
Frozen Catch Basin Report P3,23
Housing Complaint - Vacant or Derelict Building,22
Recreation-Program Information Inquiry,22
Catch Basin Cover Missing,22
TR Peggo Lost Card Report,22
Program Reg-Registration Exception Request,22
TR Peggo Blank Card Sold Report,22
Supplementary/Subdivision Tax Information,22
Park Security Concerns,22
Existing SR Additional Information/Inquiry - Eng,22
Parks Information Escalated Inquiry,22
Tax Installment Payment Plan-TIPP Confirmation/Inq,22
Debris From Homeless,22
Water Quality Odour  - Non Emergency,21
Frozen Catch Basin Priority 1 Reg,21
"Request a Garbage Cart, an Upgrade, an Extra Cart",21
Rec Services Problems with Account,21
Snow Removal Back Lane_vof,21
Request for New Service- Garbage,21
Traffic Signal Underground Clearance Request,21
TR Peggo Technical Error Report_vof,21
Rec Services Program Information Inquiry,20
Income & Expense Questionnaire Inquiry,20
Misc. Capital Projects Inq,20
Parked Vehicles Impeding Snow & Ice Control Op's,20
Damage or Theft by Collection Crews - Yard Waste,20
Valve Box - Adjust Height,19
Parking Infraction Report,19
Parking Ticket Statement Escalated Inquiry,19
Program Reg -RelayCustomerInstructionsToProgrammer,19
Aquatics-Aquatic General Inquiries,19
Residential Parking Permit Escalated Inquiry,18
Broken Parking Meter Report,18
Park Maint - Signs,18
Debris In Street Hazardous Priority 1 After,18
Snow Fencing Request,18
Debris In Street Report P3,18
TR Transferring Issues,18
Install or Remove Lighting,18
COVID-19 Community Service Ambassador/Enforcement,18
Sewer Staff Commendation/Complaint,18
Pothole Repair Request in Spring P1,18
Request for Residential Permit Esc Information,18
Park Maint - Weeds Mowing,18
Recycling Depots Concern Deficiency,18
Cancel Bulky Pick Up,18
Snow Removal Request Street P3,18
Traffic Control Barricades/Signs Abandoned,18
Boulevard Tree Pruning - Right of Way Obstructed,18
Pothole Repair Request in Winter P1,17
Catch Basin Damaged - Back Lane,17
TIPP Confirmation/Inquiry,17
City Facility Maintenance,17
Assessed Value Complaint,17
Graffiti- Hate Message,16
Challenge or Review Ticket Escalated Inquiry,16
Marriage Application_vof,16
Street Litter Container Concern,16
Bridges Overpass Underpass Report,16
Roll Out Cart Conversion Comments,16
Sewer Clean Up After Repairs,16
Request for Maintenance- Garbage,16
Assessed Value Request/Inquiry,16
Operational Complaint,16
Inspections - MB Hydro Electrical Emails,16
Water Notices Received Inquiry/Concern,16
TR Peggo Monetary Balance Discrepancy Inq,16
How are my Property Taxes Calculated,16
Parks Concerns/Commendations,16
Pothole_VOF,16
Peggo Technical Error Report,15
Questions about Payments made to Assessment & Tax,15
Snow Plow caused Damage Report,15
Trap Rental Availability,15
Boulevard & Pavement Excavation Inquiries,15
Storm Retention Basin Vegetation Concerns,15
TR Peggo Misc. Inquiry or Report,14
Tree Dangerous or Split Hazardous_vof,14
Frozen Culvert Priority 3,14
Request for Ozone Depleting Substance Collection,14
Program Reg-Copies of Registration Receipts,14
Vehicle for Hire Report,14
Tax Notice - Business,14
Accessibility Snow Clearing Application,14
Forestry Concerns/Commendations,14
Fire Code Complaint,14
Homeless at Bus Stop Area Report,14
Time Limited Parking Request,14
Cart Tagged by Contractor Concern,14
Recreation-Recreation Facility Rental,14
Recreation-Fee Subsidy Status Request,14
Graffiti Parks Amenities,14
Skunk,13
Manhole Damaged - Back Lane,13
Program Reg-Casual Ice Rental,13
Information Not Found in Garbage Map,13
Catch Basin Frozen - Back Lane,13
Lifting of Restrictions Request,13
Frozen Catch Basin P3_vof,13
Request for New Service- Roll Out Carts,13
Dog Pursue,12
Bodily Injury Claim,12
Land Development - Subdivision Tree Inquiry,12
Tax Credit Balance Inquiry,12
TR Peggo Client Account Misc Inq,12
TR Lost Property Request,12
Assessment & Tax Mailing Address Change Request,12
Fallen Boulevard Tree Report (Hazardous),12
Request for New Service- Recycling,12
Buffer Zone Application Submission,12
Recreation Facility Rental,12
Property in Tax Sale,12
MBEA Challenge or Review Ticket Esc Inq,12
Sewer Cleaning Non Emergency,12
Voters List Updates,12
Property Maintenance Request,12
Inspection Request - Property,12
Graffiti Removal Request - Private Property,12
Vicious Dog,12
Lifting of Restrictions,12
Carts Damaged By Collection Crews GARBAGE 360L,12
Parking Ticket Challenge,11
Recreation-Registration Exception Request,11
Standing Water Inspection Request,11
City Clerks Misc Inq,11
Request for Dead Animal Pickup,11
Pothole Repair Request in Spring P3,11
DogDefecating on Public/Private Property,10
Broken Meter Report,10
Escalated Operator Standards - Garbage,10
Bus Operator Complaint/Commendation,10
Mail out Payment Receipt,10
Housing Complaint - Long Grass/Weeds_vof,10
"Request a Recycle Cart, an Upgrade, an Extra Cart",10
Paved Road Repair NonHazard Priority 3_vof,10
Assessed Value Complaint - Business,10
Traffic Calming Request,10
TR Lost Property Request_VOF,10
Forestry Escalated Information Request,10
Hydrant Marker Required,10
Motor Vehicle Damage,9
Advisory Notice Update,9
Case Incident or Operational Decision Info Request,9
Dog Pursue-Human or Animal,9
Health Complaint- Food,9
Wading Pool / Spray Pad Inquiries,9
Charges Added to the Tax Bill,9
Surface Lot/Parkade Complaints,8
Tax Calculation - Business,8
Snow Removal Request Back Lane,8
Private Parking Infraction Report_vof,8
TR Peggo Loading Card Error_vof,8
Adjudication Schedule/Reschedule Request,8
Campaign Signage Complaint,8
Water Quality Information Request or Inquiry,8
Cut/Excavation Concern for Public Works,8
Inspections - Potential Illegal Rooming House,8
TR Peggo Complaint or Concern,8
Sanding Street/Roadway P3_vof,8
Sale/Lease Inquiries,7
Request For Printed Garbage Calendar,7
Paved Road Repair Request P3,7
Tax Calculation - Property,7
Operator Standards - Yard Waste,7
Speak with an Inspector Request,7
Frozen Catch Basin Priority 2 After,6
Pothole Repair Request in Winter P2,6
Parking Ticket Payment Req SR,6
Peggo Lost Card Report,6
Oversized Vehicles Parking Request,6
Frozen Pipes/Water Delivery Request,6
Missing Vehicle Courtesy Tow Report,6
Aquatics-Program Complaint,6
Sump Pump Discharge - Non-Hazardous,6
Peggo Loading Card Error,6
Lost Property Request,6
Frontage Levy Inquiry,6
Additional Inquiry for an Abandoned Item,6
Sewer Water Clearance,6
Sick or Injured Dog or Cat,6
Peggo Blank Card Sold Report,6
Ditch Overflowing Priority 3 Reg,6
Park Maint - Weeds Spraying,6
Request for Dead Animal Pickup_vof,6
School Roadway Congestion Complaint,6
Program Reg-Account Balance Enquiry,6
Water Quality Lead Testing Required,6
Inspections - After Hours Electrical Reconnect,5
My Properties Secure Login Issues,5
Tree Planting Request,5
"Transit Schedules,Routes,SchoolService Report",5
Dog or Cat Defecating - Public/Private Property,4
Traffic Signal Malfunction Response ETA,4
Traffic Sign History Request,4
Miscellaneous Concerns Operator Standards,4
Remove Object from Right of Way Hazardous,4
4R Depot Concerns,4
Misc Inspection Request,4
Transit Non-Operator Concern,3
Buffer Zone Application Submission_vof,3
Other Type of Claim,3
Missed Surplus Waste Collection Deficiency,2
Preview Program - Requested Callback From Assessor,2
Mailing Address Change_vof,2
Inspection Request,2
Request for Large Appliance Pick Up,2
Request for Bulk Pick Up - Adding Additional Items,2
Zoning By-Law Complaint - Home Based Business,2
TR Peggo Card Misc. Concern/Bad Listed,2
Wasp Nest Removal,2
Flood Volunteer Information Registration,1
License Updates/Requests,1
Ticket Screening Request,1
Summer Street Sweeping Request P2,0
Transit Charter Services Request (Take & Transfer),0
Sanding Request Priority 3AT Pathway/Trail After,0
Fire Paid Permit Form Request,0
Water Meter - Fix Water Meter By Pass,0
Broken Glass in Park Report After Hours,0
Transfer for a Backflow Tester License,0
Transfered to Councillor Santos Office,0
Snow Angels Awareness IR,0
Request for Grave Location/Geneology Search,0
Record Search Under Sewer By-law (TT),0
Park Maint - Lawn Bowling Greens,0
Rec Services-Staff Complaint,0
Sweeping Backlane Request,0
Paved Back Lanes Repair,0
Transferred to Transit for Video Surveillance,0
Pedal in the Peg (TT),0
Public Works,0
Transfer for SportProgramsInnerCityNeighbourhood,0
Fire - Tank Install/Remove/Change (Take&Transfer),0
Community Services,0
City Hall/Admin,0
Debris By Contractor After,0
Musical Instrument Lending IR,0
Downspout Discharge Hazardous - Neighbours,0
Interlibrary Loan (T &T),0
Sanding Request Active Transportation Street P1,0
CmS Other-Volunteers in Community Services (TT),0
Aquatics Practice Teaching Inquiry,0
Inspection Inquiries,0
Major Incident Missing Person Inquiry,0
Transferred for an Adopt a Park Inquiry,0
Graffiti - Volunteer Supplies Requested,0
CFPP Osborne Village,0
Inspection Billing Update Info,0
Sanding Request Bridge Priority 2,0
Snow Removal Fire Hydrant P1_vof,0
Treatment Plant Noise Complaint - 2230 Main St,0
Transfers to Libraries IT Service Request,0
"Cemeteries-Water Issues i.e.Taps-No water, Leaking",0
Station Tours Request (TT),0
Aggressive Cat Report_vof,0
Sanding Request Priority 2AT Pathway/Trail Reg,0
Sidewalk Repair_vof,0
"Sale, Purchase or Donation Request or Inquiry",0
CSS Newcomer Information Assistance (TT),0
SnowRemoval Request ActiveTransportation Street P1,0
Early Payment Discount Change Inquiry,0
Transferred for Needles on Private Property,0
Beaver Damage or Concern Inq,0
Golf PAR Loyalty Program Application Submission,0
Urban Planning & Design - Plan Winnipeg,0
Sanding Request Priority 3AT Pathway/Trail Reg,0
Playground Equipment Request New/Replace,0
Request for Sealed Ballot Application,0
"Cemeteries-Sale, Purchase, Donation Req or Inq",0
Decorative Light Damage Report,0
Park Maint - Pruning Obstructive Branches,0
Park Maint - Pruning Risk of Injury_vof,0
Snow Removal Fire Hyrdrant_vof,0
Classify Call as IGF Litter Complaint,0
Transferred to Request Request a Garbage Bin,0
Councillor Nason (TT),0
Skating Rinks Inquiry,0
Property at Risk of Flooding Inquiry,0
Signs Fix Replace Missing_vof,0
Sustainable Transportation IR,0
Sanding Request Priority 2AT After,0
Recreation-Facility Weightroom Complaint,0
Transfers to Libraries Suggestion for Purchase,0
Frozen Culvert Report P3,0
Recreation Equipment Loans,0
Snow Removal Active Trans. Trail After Hours P3,0
Gravel Lanes Maintenance,0
Bus Schedule,0
Transfer Caller to Speak at Council Meeting (CC),0
Transfered to Councillor Gilroy  Office,0
Transfers to Libraries Tours & Class Visits - Eng,0
PP&D,0
IGF Transit IR,0
Transit Plus Priority Booking System Inquiries,0
SAFE Smoke Alarm Request (East K/Transcona),0
Transfered to Councillor Rollins Office,0
Traffic Management Miscellaneous Concern,0
Dog Park Inquiries (TT),0
Transfer for Hauled Wastewater/Overstrength Surcha,0
Park Trail/Pathway Snow Clearing P3,0
Ditch Overflowing Report P1,0
Cemetery Tour Inquiry,0
Fire Station Tour Request (Take & Transfer),0
Garden Plot Inquiry (Take & Transfer),0
UrbanPlanning&Design-Long Term Neighbourhood Plans,0
Parks By-Law Screening Request,0
Transfers to Libraries Outreach Service,0
Fraud Hotline Inquiry,0
Pedal in the Peg Inquiry,0
Rec Services-Copies of Registration Receipts,0
Intact Cat Concern,0
Information Mail Out Request,0
Transferred for Last Years Fogging History,0
Transfer to Libraries for Reference Question - Eng,0
Libraries-Program Inquiry - English,0
Graffiti Traffic Signal Box (TT),0
Park Skating Rink Maintenance,0
Parking Permit Program Concern,0
Transferred for Volunteering in Community Services,0
Hazardous Road Conditions Report After Hours P3,0
Parking Inspection Inquiries,0
Charleswood Pound Inquiry,0
Transferred for a Park Rental Off Season Request,0
Rapid Transit Eastern Corridor Study Escalated Inq,0
Flood Preparation Volunteer Inquiry,0
Transit Plus Trip Cancellation (Take & Transfer),0
Southwest Transitway Art Installation Inquiry,0
Transit Newcomer Info Assistance (Take & Transfer),0
Parking Meter Permit Escalated Inquiry,0
Public Works Accessibility Inquiry,0
Transit Master Plan Feedback/Opinion,0
SW Transitway Active Transportation Trail Maint,0
City Facility Maintenance_vof,0
Flood Donations Inquiry,0
Fire & Paramedics Charity Information Inquiry,0
Transferred to the Integrity Commissioner,0
SW Transitway Concern/Commend/Feedback,0
HT Client Personal Information Update,0
Police,0
Miscellaneous Assessment Requests/Inquiries,0
Request for City Pins,0
Councillor Wyatt Inquiries (TT),0
Election Day Citizen Esc Inq (T & T),0
TR Public Safety Concern (TT),0
Streets Lane Closures Inquiry,0
Todays Garbage Collection Day Inquiry,0
Councillor Gerbasi Inquiries (TT),0
Food Handler Certificate Follow-Up Inquiries (TT),0
Leisure Guide Advertising & Distribution  (T & T),0
BSC Counter Misc. Tax Refund Processed,0
Park Maint - Playground Equipment New/Replace (TT),0
Councillor Pagtakhan Inquiries (TT),0
City Park Lot & Arena (non-ice) Rental (T & T),0
Park Rental - Modify a Park Rental (TT),0
Renew Cat License French Transfer (TT),0
TR Peggo Transit Usage Receipt Inq,0
Pot Hole After Hours P1 T/T,0
Renew Dog License French Transfer (TT),0
Flood Technical Questions,0
Park Rental - Park/Field Not Found (TT),0
Request to Speak at Council Meeting (TT),0
Inspection Billing Inquiry (TT),0
Transferred for Record search under Sewer Bylaw,0
Rec Services-CPR/FirstAid Group Reservations,0
SW Transitway Sweeping Request,0
Program Reg - Process Pool Rental Payment,0
Water Tank Rental or Concern After Hours,0
Plessis Road Underpass Project Inquiry,0
Program Registration,0
How to Videos,0
Lot Grade Permits (TT),0
IGF Parking IR,0
TR_Southwest Transitway Phase 2 (TT),0
Voters Notices Updates,0
Customer Instructions to Tax,0
Voters Notice Esc Inq,0
Park Crossing Permit (TT),0
New Dog License French Transfer (TT),0
Doggy Days of Summer Event,0
Program Reg-Course Errors/Inaccuracies,0
Lost Property Urgent,0
Fallen BoulevardTree Report (AfterHours Hazardous),0
Transfered to Councillor Registration/Campaign Inq,0
Transfers to Libraries Shelf Check - English,0
Folklorama,0
Voters List Removal Personal Security Protection,0
Access 123 Job Line Inquiry,0
Reference Question - English,0
Rec Services Registration Refund Inquiry,0
Transfered to Councillor Orlikow Office,0
Enhanced Bike Lanes Maintenance Request,0
Recreation-Program Leader Application Status,0
Recreation-Old Class Credits/Visits Inquiry,0
Email Prohibited Animal Registration Form,0
Sunnyside Light Conversion Inq,0
Libraries-Comments Commendations Complaints-Engl,0
Garnishment of Wages Inquiry (Take & Transfer),0
Winnipeg Emergency Text Service Concern,0
Test Installation Type,0
Park Tree Pruning Obstructive Branches,0
Urban Planning & Design - Riverbank Stabalization,0
Street Priority Change Request,0
Baseball Diamonds Maintenance,0
Mail out Parking Authorization Form,0
Buffer Zone Inquiries (TT),0
SAFE Smoke Alarm Request (Assiniboia),0
SnowRemoval Request ActiveTransportation Street P2,0
TR_Southwest Transitway Art Installation Maint,0
Abandoned Pick Up Request - Large Appliance,0
Transfers to Libraries Meeting Room Request - Eng,0
Fire Paramedics Racism/Discipline Inquiry,0
SW Transitway General Service Request,0
Insect ID Request,0
Libraries-Membership card/Account - English,0
Recreation-Simply Unique Program Inquiry (TT),0
Dog Impounded Inquiry,0
Storm Retention Basin Dead Fish/Bird Concerns,0
Program Inquiry - English (TT),0
Spring Weight Restrictions Inquiry,0
Appeal Committee Inquiry,0
Defacement of Parking Meter Report,0
Graffiti Parks Amenities_vof,0
Program Inquiry - English,0
Extreme Heat and Cooling Centres Information,0
Provincial Election Inquiry,0
Transit Travel Training Inquiry,0
Volunteer Information Session Registration,0
TR_Southwest Corridor Sweeping Maint,0
Rec Services-Program Leader Application Status,0
CFPP Exchange BIZ,0
Transferred ImpairedDrivingCountermeasures Info,0
MB Hydro LED Conversion Inquiry (Take & Transfer),0
Libraries-Meeting Room Request - English,0
Transferred to Transit - Speak to a Bus Operator,0
Sanding Request Priority 2AT Reg,0
Meter Rate Change Complaints,0
Park Maint -  Brush Pickup_vof,0
SAFE Smoke Alarm Request (Riel),0
Click Before You Dig Inquiry (Take & Transfer),0
SAFE City Centre Inq,0
Sewer Renewal Inquiry/Concern - Emergency,0
Transit Priority and Courtesy Seating Feedback,0
PLU - Future Plans for New Park,0
City Parking Lot Rental (Not Parks),0
Sweeping Street P2 Request,0
Park Maint - Tree Fallen_vof,0
Tax Installation Payment Plan-TIPP Form_vof,0
Sanding Request Active Transportation Pathway P1,0
Past Winnipeg Hydro Employee Inquiry Take&Transfer,0
Park Trail/Pathway Snow Clearing P2,0
By-Election Inquiry,0
Transferred to the Fraud Hotline,0
Transferred to Transit Plus Trip Booking/Info/Inq,0
Cancel Cat License (TT),0
GIS Locate Example,0
WPG Jets Block Party,0
Transferred to Newcomer Information Assistance,0
Transferred WPS for Serious/Fatal Collisions Info,0
SW Transitway Active Transportation Trail Sweeping,0
Park Tree Pruning General Non Hazardous,0
ESU - Home Based Business Vehicle Complaints,0
